sample	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
aubergine	SMEL4.1_02g016370.1.01	1	387	20	355	91.7313	7.73643	28.1	22.2
aubergine	SMEL4.1_02g014830.1.01	1	378	25	356	94.1799	9.91005	29	44
aubergine	SMEL4.1_02g014530.1.01	1	1110	101	1107	99.7297	13.6297	28.1	29.5
aubergine	SMEL4.1_02g012880.1.01	1	1152	98	1134	98.4375	12.6328	28.3	43.8
aubergine	SMEL4.1_02g012710.1.01	1	1209	133	1209	100	16.4665	28.7	44
aubergine	SMEL4.1_02g012700.1.01	1	789	77	785	99.493	14.5387	29	19.8
aubergine	SMEL4.1_02g011900.1.01	1	1344	708	1340	99.7024	68.0781	28.6	33.1
aubergine	SMEL4.1_02g005760.1.01	1	1686	140	1677	99.4662	12.43	28.6	35.9
aubergine	SMEL4.1_02g002190.1.01	1	1116	107	1096	98.2079	14.362	28.3	10.6
aubergine	SMEL4.1_02g000910.1.01	1	1974	249	1910	96.7579	18.887	28.3	44
aubergine	SMEL4.1_03g034360.1.01	1	1104	102	1103	99.9094	13.837	28.4	22.7
aubergine	SMEL4.1_03g030670.1.01	1	1119	97	1078	96.336	12.8999	28.8	38
aubergine	SMEL4.1_03g028740.1.01	1	1440	145	1430	99.3056	15.0931	28.8	44
aubergine	SMEL4.1_03g028220.1.01	1	3141	312	3134	99.7771	14.8838	28.3	17.5
aubergine	SMEL4.1_03g026370.1.01	1	546	37	524	95.9707	10.1648	28.7	44
aubergine	SMEL4.1_03g024710.1.01	1	1152	115	1146	99.4792	14.9488	28.3	15.9
aubergine	SMEL4.1_03g022710.1.01	1	690	82	689	99.8551	17.7391	28.3	44
aubergine	SMEL4.1_03g022500.1.01	1	2133	242	2131	99.9062	17.0033	28.3	39.7
aubergine	SMEL4.1_03g020280.1.01	1	768	65	761	99.0885	12.6862	27.8	44
aubergine	SMEL4.1_03g018160.1.01	1	1305	148	1296	99.3103	16.9877	28.2	44
aubergine	SMEL4.1_03g018090.1.01	1	747	64	735	98.3936	12.8246	28.4	44
aubergine	SMEL4.1_03g014140.1.01	1	654	65	654	100	14.8899	29.1	28.5
aubergine	SMEL4.1_03g013450.1.01	1	681	41	671	98.5316	9.00587	28.2	44
aubergine	SMEL4.1_04g001380.1.01	1	1905	224	1888	99.1076	17.6199	28.6	17.1
aubergine	SMEL4.1_04g001880.1.01	1	900	80	897	99.6667	13.3244	28.4	44
aubergine	SMEL4.1_04g003420.1.01	1	1614	229	1605	99.4424	21.2683	28.7	29.2
aubergine	SMEL4.1_04g005310.1.01	1	852	79	834	97.8873	13.8451	28.2	43.9
aubergine	SMEL4.1_04g007010.1.01	1	774	70	770	99.4832	13.478	28.6	43.9
aubergine	SMEL4.1_04g009000.1.01	1	549	53	543	98.9071	14.4463	28.7	44
aubergine	SMEL4.1_04g011540.1.01	1	759	69	756	99.6047	13.4137	28.9	18.1
aubergine	SMEL4.1_04g012670.1.01	1	1119	125	1115	99.6425	16.6238	28.8	13.6
aubergine	SMEL4.1_04g013060.1.01	1	1470	160	1443	98.1633	16.3218	28.7	13.7
aubergine	SMEL4.1_04g015730.1.01	1	2247	220	2246	99.9555	14.6489	28.9	36.7
aubergine	SMEL4.1_04g016770.1.01	1	1284	104	1282	99.8442	12.1277	28.6	44
aubergine	SMEL4.1_04g017490.1.01	1	1572	155	1572	100	14.7176	28.5	44
aubergine	SMEL4.1_04g018730.1.01	1	2445	334	2441	99.8364	20.1247	28.5	12.8
aubergine	SMEL4.1_04g021600.1.01	1	1113	105	1112	99.9102	14.0809	28.2	36.4
aubergine	SMEL4.1_04g022050.1.01	1	2685	306	2683	99.9255	17.0492	28.6	44
aubergine	SMEL4.1_04g023360.1.01	1	900	77	864	96	12.7733	28.2	44
aubergine	SMEL4.1_05g004600.1.01	1	1431	136	1427	99.7205	14.0489	28.9	43
aubergine	SMEL4.1_05g015590.1.01	1	258	13	254	98.4496	7.50775	29.6	44
aubergine	SMEL4.1_05g018940.1.01	1	1116	107	1106	99.1039	14.2849	28.8	35.2
aubergine	SMEL4.1_05g020090.1.01	1	645	52	645	100	11.9752	28.6	17.9
aubergine	SMEL4.1_05g020140.1.01	1	1062	125	1020	96.0452	17.6478	28.3	44
aubergine	SMEL4.1_05g021330.1.01	1	993	108	989	99.5972	16.283	28	16.9
aubergine	SMEL4.1_05g023750.1.01	1	903	109	900	99.6678	17.928	27.9	43.9
aubergine	SMEL4.1_05g025470.1.01	1	1389	140	1358	97.7682	15.1044	28.5	18.4
aubergine	SMEL4.1_06g001190.1.01	1	2481	257	2480	99.9597	15.5208	28.6	13.4
aubergine	SMEL4.1_06g002980.1.01	1	477	27	410	85.9539	8.40461	29.4	44
aubergine	SMEL4.1_06g008710.1.01	1	3039	323	3006	98.9141	15.9141	28.5	44
aubergine	SMEL4.1_06g011580.1.01	1	1767	188	1765	99.8868	15.8789	28.9	31.2
aubergine	SMEL4.1_06g011820.1.01	1	1740	377	1737	99.8276	31.2126	28.3	40.2
aubergine	SMEL4.1_06g016630.1.01	1	1404	161	1373	97.792	17.183	28.4	44
aubergine	SMEL4.1_06g018140.1.01	1	525	46	517	98.4762	13.1105	28.8	30.2
aubergine	SMEL4.1_06g023800.1.01	1	447	25	445	99.5526	8.3736	26.8	44
aubergine	SMEL4.1_06g023900.1.01	1	966	193	962	99.5859	29.1335	28.9	39
aubergine	SMEL4.1_06g025130.1.01	1	1197	147	1194	99.7494	18.4052	28.1	36.8
aubergine	SMEL4.1_06g027290.1.01	1	297	19	297	100	9.43771	29.8	20.5
aubergine	SMEL4.1_06g027310.1.01	1	297	15	294	98.9899	7.45455	28.2	16.6
aubergine	SMEL4.1_06g027790.1.01	1	297	13	293	98.6532	6.42761	28.8	44
aubergine	SMEL4.1_06g029600.1.01	1	2091	223	2056	98.3262	15.2994	28.2	42.5
aubergine	SMEL4.1_06g030080.1.01	1	912	70	905	99.2325	11.466	28.6	44
aubergine	SMEL4.1_07g001260.1.01	1	1113	110	1102	99.0117	14.823	28.4	26.1
aubergine	SMEL4.1_07g004150.1.01	1	1569	149	1555	99.1077	14.1479	29.1	44
aubergine	SMEL4.1_07g010610.1.01	1	663	62	660	99.5475	13.9789	29.3	44
aubergine	SMEL4.1_07g015470.1.01	1	387	23	350	90.4393	8.91473	29.6	16.3
aubergine	SMEL4.1_07g018930.1.01	1	1602	175	1598	99.7503	16.3602	28.3	38.3
aubergine	SMEL4.1_07g020710.1.01	1	924	103	921	99.6753	15.5887	28.8	35.1
aubergine	SMEL4.1_07g021270.1.01	1	2532	293	2529	99.8815	17.2891	28.5	44
aubergine	SMEL4.1_07g023250.1.01	1	1311	102	1288	98.2456	11.6346	29	44
aubergine	SMEL4.1_07g024260.1.01	1	627	66	623	99.362	15.7289	28.6	44
aubergine	SMEL4.1_07g024590.1.01	1	393	34	372	94.6565	10.7939	29.5	8.94
aubergine	SMEL4.1_07g024630.1.01	1	1593	174	1587	99.6234	16.3358	28.5	44
aubergine	SMEL4.1_08g026820.1.01	1	465	21	448	96.3441	6.76559	28.9	44
aubergine	SMEL4.1_08g026210.1.01	1	1413	156	1395	98.7261	16.5237	28.1	15.8
aubergine	SMEL4.1_08g020760.1.01	1	1374	122	1370	99.7089	13.278	28.6	44
aubergine	SMEL4.1_08g020480.1.01	1	582	66	581	99.8282	16.9622	28.5	44
aubergine	SMEL4.1_08g018640.1.01	1	2076	255	2044	98.4586	18.3974	28.6	44
aubergine	SMEL4.1_08g013340.1.01	1	720	60	720	100	12.4736	28.1	44
aubergine	SMEL4.1_08g012940.1.01	1	1446	166	1446	100	17.1763	28.8	44
aubergine	SMEL4.1_08g012280.1.01	1	516	33	499	96.7054	9.56977	29.2	18.3
aubergine	SMEL4.1_08g012260.1.01	1	1065	113	1065	100	15.8592	28.5	23
aubergine	SMEL4.1_08g010540.1.01	1	540	37	512	94.8148	10.2426	28.1	26.5
aubergine	SMEL4.1_08g009500.1.01	1	618	42	615	99.5146	10.1262	28.3	44
aubergine	SMEL4.1_08g008140.1.01	1	1323	123	1316	99.4709	13.8904	28.6	44
aubergine	SMEL4.1_08g008050.1.01	1	1104	110	1101	99.7283	14.8451	28.5	43.9
aubergine	SMEL4.1_08g003150.1.01	1	699	82	696	99.5708	17.2546	29.4	39
aubergine	SMEL4.1_08g002510.1.01	1	1659	168	1645	99.1561	15.1844	28.6	34.3
aubergine	SMEL4.1_08g002110.1.01	1	762	63	762	100	12.3386	28	44
aubergine	SMEL4.1_08g001630.1.01	1	1029	107	1025	99.6113	15.5627	28.4	17.6
aubergine	SMEL4.1_08g001500.1.01	1	891	101	861	96.633	16.9035	28.3	44
aubergine	SMEL4.1_08g000300.1.01	1	5190	711	5185	99.9037	20.2827	28.5	30
aubergine	SMEL4.1_09g023460.1.01	1	990	93	986	99.596	14.003	28.3	44
aubergine	SMEL4.1_09g022780.1.01	1	2349	509	2347	99.9149	28.3453	28.5	29.8
aubergine	SMEL4.1_09g022620.1.01	1	450	30	445	98.8889	9.96889	28.8	44
aubergine	SMEL4.1_09g020140.1.01	1	738	87	733	99.3225	16.3306	28.2	40.8
aubergine	SMEL4.1_09g019180.1.01	1	858	90	857	99.8834	13.3823	28.8	39.8
aubergine	SMEL4.1_09g018500.1.01	1	327	23	311	95.107	10.5076	27.6	44
aubergine	SMEL4.1_09g015910.1.01	1	960	98	960	100	15.2719	29.6	44
aubergine	SMEL4.1_09g014780.1.01	1	1224	102	1218	99.5098	12.4877	28.9	44
aubergine	SMEL4.1_09g012190.1.01	1	1182	136	1182	100	17.2174	28.2	44
aubergine	SMEL4.1_09g006270.1.01	1	543	74	524	96.5009	19.9024	28.6	43.3
aubergine	SMEL4.1_09g004070.1.01	1	1389	121	1387	99.856	13.0454	28.6	44
aubergine	SMEL4.1_09g003810.1.01	1	1899	241	1864	98.1569	18.7788	28.6	14.5
aubergine	SMEL4.1_09g003480.1.01	1	1689	165	1673	99.0527	14.5909	28.1	17.5
aubergine	H12@DN2171_c0_g1_i9.p1	1	1974	209	1956	99.0881	15.1824	27.9	42.1
aubergine	H12@DN55120_c0_g1_i1.p1	1	321	77	321	100	27.81	28.6	34
aubergine	H3@DN8576_c0_g2_i2.p1	1	552	55	519	94.0217	12.6377	29.5	36.5
aubergine	H2@DN1058_c0_g1_i14.p1	1	1299	138	1265	97.3826	14.6189	28.5	29.6
aubergine	H2@DN1058_c0_g1_i14.p2	1	885	64	804	90.8475	10.339	27.7	26.2
aubergine	H2@DN1058_c0_g2_i2.p1	1	2154	262	2144	99.5357	16.948	28.4	32.7
aubergine	H2@DN5319_c0_g1_i3.p1	1	768	86	755	98.3073	16.4635	28.7	42.6
aubergine	H2@DN959_c0_g1_i8.p1	1	660	48	629	95.303	10.653	28.1	21.5
aubergine	H2@DN959_c0_g1_i8.p2	1	369	15	234	63.4146	5.14634	28.9	20.3
aubergine	SMEL4.1_01g039280.1.01	1	975	78	933	95.6923	11.8892	28.1	43.5
aubergine	SMEL4.1_01g034640.1.01	1	1134	116	1130	99.6473	15.3219	28.3	40.1
aubergine	SMEL4.1_01g023970.1.01	1	2139	213	2137	99.9065	14.9056	28	38.8
aubergine	SMEL4.1_01g023550.1.01	1	435	38	434	99.7701	12.9908	28.8	25.2
aubergine	SMEL4.1_01g023540.1.01	1	378	20	374	98.9418	7.53439	28.2	22.8
aubergine	SMEL4.1_01g003060.1.01	1	864	76	847	98.0324	13.1586	28.8	44
aubergine	SMEL4.1_10g016710.1.01	1	1206	143	1192	98.8391	17.7761	27.8	40.3
aubergine	SMEL4.1_10g012060.1.01	1	837	56	826	98.6858	10.0275	28	44
aubergine	SMEL4.1_11g025340.1.01	1	1227	137	1192	97.1475	16.7368	28.6	44
aubergine	SMEL4.1_11g024140.1.01	1	267	16	265	99.2509	7.30337	28.1	0.5
aubergine	SMEL4.1_11g024130.1.01	1	978	124	975	99.6933	18.1973	28.6	33.5
aubergine	SMEL4.1_11g004440.1.01	1	621	52	617	99.3559	12.5169	28.8	43.6
aubergine	SMEL4.1_12g001740.1.01	1	1074	122	1059	98.6034	17.0345	28.8	44
aubergine	SMEL4.1_12g002400.1.01	1	2334	249	2325	99.6144	15.6564	28.5	31.2
aubergine	SMEL4.1_12g003740.1.01	1	2394	290	2387	99.7076	18.0267	28.7	42.8
aubergine	SMEL4.1_02g028400.1.01	1	1254	115	1224	97.6077	13.6563	28	43.7
aubergine	SMEL4.1_02g025010.1.01	1	1680	145	1677	99.8214	12.9048	28.1	31.2
aubergine	SMEL4.1_02g022150.1.01	1	582	34	564	96.9072	8.73368	28.1	32.5
aubergine	SMEL4.1_03g026330.1.01	1	2424	293	2422	99.9175	17.9295	28.4	39.6
aubergine	SMEL4.1_03g019450.1.01	1	1086	104	1042	95.9484	14.1878	28.6	43.6
