,length,OXF1071_S29,OXF1147_S30,OXF1623_S50,OXF2544_S53,OXF936_S52,OXF939_S51,RC01_S1,RC04_S2,RC05_S26,RC09_S4,RC15_S5,RC16_S6,RC20_S7,RC23_S8,RC24_S9,RC27_S31,RC28_S32,RC30_S33,RC31_S10,RC32_S11,RC33_S12,RC34_S13,RC35_S14,RC37_S34,RC38_S15,RC45_S35,RC46_S36,RC47_S37,RC48_S38,RC50_S16,RC51_S39,RC52_S17,RC54_S40,RC55_S41,RC57_S42,RC60_S18,RC65_S43,RC66_S44,RC68_S19,RC70_S20,RC71_S21,RC73_S45,RC75_S46,RC79_S47,RC81_S22,RC82_S23,RC85_S48,RC87_S24,RC88_S25,RC89_S3,RC90_S27,RC91_S28,RC92_S49,sum,
I_lacunosa-Solyc03g005120.2.1_1,2139,105803,232528,16908,38096,374,128,5232,35877,3439,24101,149378,4348,2587,445599,1109696,1425,50500,218280,0,9296,8154,0,600,0,1830,1618,3683,1510,6500,458,125,10284,774,2193,1459,1786,818774,13928,890188,83580,45986,30904,882101,18077,506381,4457,1854,1581,182506,0,558,1399,0,5978982,
I_lacunosa-Solyc10g078660.1.1_1,2466,1013,119574,5301,145378,148,456,1181,3197,110089,17013,170053,105954,164866,5270,653,361,0,232,0,921,853,0,1062,29,1265,470,136661,774,3669,843,344,1120,1354,594,999,73164,1115476,7203,2129,94259,678458,2308,299542,0,285626,6422,656,1669,5424,0,1850,1006,0,3579355,
I_lacunosa-Solyc12g076350.1.1_1,1231,2545,7954,1649,1456,696,0,150301,392962,32048,51731,1790,4378,8732,7853,6970,912,0,178143,0,1514,836,0,814,0,4394,958,462,0,2734,1772,301,2416,1354,1338,87137,1340,941184,5478,5687,446867,70422,18832,305780,0,90075,3351,0,3368,604,0,988,1159,0,2852516,
I_lacunosa-Solyc12g088720.1.1_1,2901,2052,49590,193482,5765,106304,3834,26421,639925,451057,285744,3557,366233,5567,149025,384532,16649,276,8422,0,40867,7111,0,3390,0,31823,460942,64694,29165,290995,15594,780,6902,3854,130,23900,15747,1830296,214461,304589,411727,294617,15450,1476305,0,30217,13759,303900,937083,896,0,266099,6722,0,9803351,
I_lacunosa-Solyc08g066730.2.1_1,3593,2446,22445,19513,86333,49043,0,58374,927941,7101,18737,207015,924516,13487,97422,12168,1092,568,26866,0,7533,3981,0,2090,388,12344,670,7406,216,8820,19132,2864,9871,2680,3212,1250,464934,522012,146729,10712,673840,321138,98721,1357876,0,1129596,174938,144,435918,4292,394,4909,6807,0,7914077,
I_lacunosa-Solyc07g017490.2.1_1,3516,1790,4112,38365,3175,233842,0,25434,1256,4496,207512,8952,6424,4782,7499,4586,722,12412,708,0,1480,1650,0,428,0,18988,1882,724,936,471129,2066,0,1963,1374,202,638,5425,1683541,70650,4387,440592,3901,417776,703640,0,363970,7066,1203,40737,302,0,2294,2818,0,4821345,
I_lacunosa-Solyc07g017490.2.1_2,9559,327,75252,4654,3929,146,570,6765,3968,28896,137492,9419,7107,2412,978901,9203,8712,522,1148,0,35899,122470,0,1307,0,1302,438,1275,57,3573,0,758,3071,1432,78,464901,4424,1862608,15269,13380,158634,160111,499229,631500,0,966897,32822,414,20125,2567,0,5497,3847,0,6302867,
I_lacunosa-Solyc05g008580.2.1_1,4061,1504,1095383,748,485,932,612,73281,3663,808,4544,1325,5177,3299,4566,1318,1886,70028,1057,0,1423,1394,84,1012,402,13875,71359,225910,392,2154,3262,902,5697,16039,228,702,24973,882108,42834,1515,16673,127042,2489,387093,0,17595,2122,116,20199,1702,288,109230,750,0,3256241,
I_lacunosa-Solyc11g019950.1.1_1,3035,2156,3810,108464,2819,258,1015,44737,1810,2066,1187,2648,3541,2387,8019,831,252,0,0,0,1728,0,0,0,0,840,0,1978,0,897,384,242,4063,396,0,294,4824,48158,121074,299280,63537,123014,224663,876441,0,173426,387136,480,1104,20887,0,31356,830,0,2576067,
I_lacunosa-Solyc11g044970.1.1_1,1903,0,48323,1130,828,200,733,9428,9505,3332,3453,3284,1807,3793,59613,14410,1100,1184,0,0,2369,1998,0,1544,0,0,107321,672,188,4590,458,0,1372,794,314,172,13156,471613,6930,2413,557824,1504,1641,163390,1048,47347,1910,442,1103,7998,0,0,1778,0,1565915,
I_lacunosa-Solyc09g013130.2.1_1,5922,306837,936978,61168,2968,624,2646,17668,10555,7534,366157,123017,42617,11482,723187,4424,488,38778,20599,0,3653,200436,0,3455,260,436910,245,73901,1182,12384,1798,1097,6298,1722,1698,8627,133370,300268,1178016,118636,54049,215553,2864,1090242,849,19172,87619,23071,5432,379742,0,1525,112427,0,7160150,
I_lacunosa-Solyc08g015620.2.1_1,1600,194,0,453,1346,0,340,954161,460,256,303,0,1168,1143,0,16071,0,0,0,0,555,0,0,0,0,0,0,458,0,900,0,0,279,0,0,390997,759,2264,946,496,69279,912,302,485071,0,389,1277,0,741,368,0,0,902,0,1934390,
I_lacunosa-Solyc07g014590.2.1_1,7742,11089,105545,237490,22473,214,452,43280,17943,1721,34833,7300,18350,6693,73028,105266,10171,2285,292,0,123543,2096,0,90,518,1760,188,3189,1086,12272,74370,2127,11890,368,5408,2560,8520,2313487,189224,5526,558077,8839,15217,354108,0,85019,114399,702,89564,1342,0,3100,4293,0,4699049,
I_lacunosa-Solyc07g064280.2.1_1,1253,1550,928386,32932,4937,4626,0,348486,436043,3984,13098,456527,3187,274283,214477,5686,2474,470,330,0,1098,1287,0,7330,0,5906,152,39596,1840,6130,513829,0,7619,2546,122,29044,8310,616088,398159,1135665,98600,2422,9767,747190,622,596756,8664,292,9362,135547,0,11716,2946,0,7131334,
I_lacunosa-Solyc12g005200.1.1_1,3292,218,4784,11481,1581,2676,612,5484,2697,3042,1443,374715,2684,4262,31581,3874,574,0,1508,0,5078,650,0,466,0,0,258,234,524,1756,939,0,3055,622,158,486,3381,685137,301783,2028,450283,13069,1513,228897,0,1570,123275,820,28196,1602,0,1020,1253,0,2314561,
I_lacunosa-Solyc07g065080.2.1_1,3934,2628,5657,7299,7522,1177,1152,17317,428603,1986,897074,2928,42239,12980,572653,162823,445,11880,8584,0,643515,1773,0,902,0,15602,404,3730,528,35025,880,640,4860,1489,288,638,5387,201530,59324,362040,170911,162199,35146,616647,0,16699,25472,212,5554,4505,0,1262,331538,0,4897581,
I_lacunosa-Solyc05g043430.2.1_1,2218,0,580,0,296,0,0,0,0,604,0,244,0,904,862,519,0,0,0,0,149,302,0,0,0,0,0,1716,0,841,734,0,1470,0,0,0,17937,30859,4425,1812,11430,295,0,171899,0,2650,492,333,1315,0,0,0,888,0,255774,
I_lacunosa-Solyc03g123720.2.1_1,1209,2220,2586,848,906,0,0,1269,517975,1526,1504,1941,1490,316929,1630,28615,0,176,320,0,1302,0,0,508,0,224,0,302,0,1491,97409,392,1480,724,0,0,861,96245,2133,1039,2403,980,410407,852,0,2058,2414,263,598,0,0,0,3454,0,1508683,
I_lacunosa-Solyc03g123760.2.1_1,4017,41399,112217,4263,171195,2367,0,398600,521460,20651,64207,15837,2406,6921,446274,579,392,0,2316,0,6971,1190,0,1618,468,3027,632,2427,821,2154,325,418,3145,542,918,10776,1536,87932,295286,7935,381650,658316,3036,240888,0,16993,250069,645,160550,118631,0,700,9457,0,4084157,
I_lacunosa-Solyc08g076130.2.1_1,1612,0,7117,1412,14516,214,160,1955,22827,216,5692,962,3143,5485,117776,534,138,0,557,0,764,2116,0,728,0,688,0,865,0,3170,0,0,0,437,301674,394,1220,9608,245165,306800,51633,1985,896,574465,182,73001,4582,0,1969,812,0,6538,2105,0,1776113,
I_lacunosa-Solyc02g091190.2.1_1,2824,102,64110,2318,719,0,592,582015,4742,2463,11714,766,1668,1302,15230,595,0,492,8454,0,1482,596,0,1752,112,19126,0,604,0,2409,1130,756,1203,299,34875,1034,1718,1169687,94820,5321,11896,2768,195561,296115,0,5091,2416,136,1072,14708,0,1182,2690,0,2570665,
I_lacunosa-Solyc10g074710.1.1_1,3092,149849,868751,210739,236708,1598,299,240243,108662,3901,108460,10067,20603,6998,14314,160348,424,112450,332,0,5357,2674,0,82648,162,170,368,36775,702,208852,60262,1020,3088,2348,734,13485,6791,1536382,164168,145270,34439,31691,22777,739018,118,27294,116362,4731,3839,72684,0,554,5569,0,5588170,
I_lacunosa-Solyc02g085780.2.1_1,4621,1920,7088,36377,19480,440,1614,98684,122531,4028,13328,13898,7071,3712,367915,4725,1520,25758,381,0,2757,1703,0,44803,284,10574,17938,2012,1809,11164,51701,3831,36642,1400,1049,7620,207736,746750,305232,15159,96449,9313,22019,1727897,98,22844,167506,1302,24124,50717,0,3438,4352,0,4335314,
I_lacunosa-Solyc12g009470.1.1_1,2416,9264,9704,355869,5351,110298,80811,234707,20816,17496,762490,11427,23109,7187,11345,255001,2613,523,4089,0,5505,3262,0,1418,624,9596,5923,5142,556,72258,47070,759,4013,861,9868,1624,9211,2497359,310986,71597,31342,4670,27360,1528736,78,32423,28114,13220,530936,2670,0,4924,28063,0,7214684,
I_lacunosa-Solyc11g012820.1.1_1,4622,0,12850,1462,1086,0,0,4243,3024,412,233333,588640,43507,882,29400,436,220,0,0,0,491,3188,0,0,0,220,0,0,0,5853,0,622,0,1087,0,0,604,29907,8145,1796,97071,22676,1391,325689,0,3192,903,90302,888,300,0,206,569,0,1519217,
I_lacunosa-Solyc07g039450.2.1_1,3674,2111,31290,65102,664,37375,0,320002,2291,402,2683,347358,2049,2118,114604,294,380,0,32476,0,1187,1139,0,468,0,556,183814,0,0,35626,0,606,1773,212,492,702,809,723912,25372,3149,21031,243761,3192,652082,0,116137,1199,146,0,610,0,1215,1562,0,2985625,
I_lacunosa-Solyc04g080140.2.1_1,5067,1504,12533,380216,3706,88,816,376276,175436,973845,83943,110921,24421,7010,10962,3475,422,4466,1854,0,4721,603,298,780,0,81433,880,1390,634,186652,1204,988,3278,964,754,748,80773,305907,276719,9273,371694,356246,6731,358627,0,829393,15213,0,27179,55428,0,1706,1199,0,5158376,
I_lacunosa-Solyc05g056420.2.1_1,3531,900,5216,10402,53569,1438,0,86131,88131,2241,312344,3828,1098,1824,10922,281654,14254,240,2214,0,1881,302,0,350,0,40338,1000,1667,1618,3957,763,302,232,524,364,26760,12252,451046,393830,4718,14827,28385,28157,579233,0,95581,3855,190,2667,1172,0,7433,1508,0,2584849,
I_lacunosa-Solyc06g063250.2.1_1,2474,1221,6026,192741,5501,878,384,8113,34376,4568,186251,25242,206,4094,702342,2379,770,0,158,0,2711,428298,0,689,162,11848,688,288,133745,1731,582,299,2551,1204,230,184,597107,54504,6180,2871,570987,449,1705,244966,0,89597,657,156,6758,491498,0,45016,1090,0,3876475,
I_lacunosa-Solyc07g053660.2.1_1,4125,0,1672,1210,176483,250,0,60899,0,810,0,0,1216,471,7280,1449,166,94,223069,0,604,1105,0,148,0,172,162,0,899,4293,823,281,1150,448,0,0,302,1291342,804027,1965,3852,9208,610,491437,0,3667,1101,360,1224,1052,0,283,2207,0,3101916,
I_lacunosa-Solyc08g082020.2.1_1,3888,1719,45310,235357,702732,10746,0,6697,2194,2088,4948,4375,4324,3799,489694,10997,1637,1300,1868,41,7097,1208,0,10040,129,48887,1084,1536,2376,1988,9118,0,7712,674,2454,201388,1866,105776,277737,3728,6640,2046,495,281399,0,4625,6451,744,21648,2072,404,1173,11533,391,2558133,
I_lacunosa-Solyc04g082250.2.1_1,2857,8049,721302,22582,10294,152263,578,89437,299460,59502,2962622,915608,84063,28560,1080099,369086,230224,1708,45211,0,6524,3321,0,2961,0,74375,10415,17501,1102,392211,1297,1016,8693,12415,74931,1610,368374,1593702,53514,19252,278030,482311,45093,1881002,0,140692,25701,960,552037,5844,0,98514,5933,0,13242836,
I_lacunosa-Solyc12g094570.1.1_1,2611,966,2470,1761,5899,176,1564,1749,94887,2371,4717,600,47714,22816,3984,2593,168,0,720,0,3333,534,0,718,0,21660,128,98721,1176,2718,296,148,3208,2210,458,1216,3791,543816,6044,5032,65081,540510,25534,1543,0,4314,1146,232,2725,282,0,434,2184,0,1536958,
I_lacunosa-Solyc11g045140.1.1_1,2381,0,40699,14963,240231,1208,638,19937,3525,1960,6318,906,2378,1652,4080,1476,950,150,566,0,422,1253,0,1516,110,0,4992,15105,2266,1398,0,562,1061,62580,936,202,1112,19886,196527,2317,13506,2955,47884,449840,0,13507,77650,944,4120,552,0,816,1736,0,1269773,
I_lacunosa-Solyc11g010890.1.1_1,4350,900,3404,2859,3475,4571,98418,1586,3140,1902,1991,1050,2243,3543,4083,341054,260,8930,1757,14033,1411,1824,301,768,246,34,188,0,217,10431,603,93,1698,36213,409,1266,269619,28850,5676,1955,10418,709,454,924862,7294,7669,2720,23867,108574,675786,510,48384,2288,475,2679361,
I_lacunosa-Solyc06g053860.2.1_1,7093,10394,21347,79929,1116,3008,29467,2280,9245,1458,8901,2103,1186,57153,1590,2094,0,39,141614,0,9976,1213,39,1048,78,13436,54008,195,0,7367,1086,102,5183,151,69566,688,127525,827225,681697,2317,5276,1977,1221,271791,78,552294,2812,152,934,1180,31,1462,1198,0,3023323,
I_lacunosa-Solyc10g007850.2.1_1,3024,1462,33937,1907,354,13519,0,27553,40438,131765,253661,1140,3083,1885,614,1208,348,2002,404,0,5705,0,0,0,0,0,168,302,0,1903,12930,1208,1267,654,0,600,4896,91895,5930,2051,85292,4252,7620,699216,0,3250,308517,552,7058,0,342,12457,0,0,1776369,
I_lacunosa-Solyc06g075930.1.1_1,6685,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,222,0,721,13994,0,0,0,0,66,0,0,0,0,0,0,0,416,246,0,23447,
I_lacunosa-Solyc11g066370.1.1_1,7372,588,631906,4095,2762,1326,1111,42491,3587,3881,42210,284979,2362,3188,878259,39625,7341,180,2352,0,6359,4459,0,661,392,1081004,2584,2587,7939,2110,458,527,25641,20164,352,2304,70115,850358,288249,37377,15561,131078,30208,313090,0,74678,7491,248,4374,811,196,23633,4573,134,4969330,
I_lacunosa-Solyc01g101090.2.1_1,3367,0,3222,8698,603,110,366,3021,0,453787,16876,386688,1442,0,6721,313828,568,0,280,0,604,522,0,0,0,366,0,300,0,1170,258,1866,1106,540,754,122,1707,295476,6909,1781,5697,2421,360673,114154,0,14093,2304,285470,1138,3744,0,284,1645,0,2304681,
I_lacunosa-Solyc03g117430.2.1_1,5103,446,1447,894,0,1876,0,0,0,0,189,0,828,304,2423,158,0,0,0,0,0,0,0,0,0,4482,130,0,0,302,228,0,0,632,390,228,0,2380,24949,566,35492,0,0,718,0,1749,535,0,466,0,0,212,1225,0,88352,
I_lacunosa-Solyc03g117430.2.1_2,4570,901,4837,1783,3224,684,301,33778,26574,2894,4959,3156,3469,1064,18073,14011,216,0,1096,0,1204,37661,0,1462,0,536,456,1680,979,2558,457,762,150269,3140,184,1288,9463,706301,815951,2850,545605,7234,2002,685716,108,8975,87076,196,205020,704,0,801,1590,0,3407818,
I_lacunosa-Solyc09g091100.2.1_1,2976,1673,1383,1280,1351,386,0,84917,4656,1026,340788,1376,3514,1014,3630,3552,758,1076,486,0,2761,1154,0,354,0,1600,1040,73105,0,102252,604,1203,16911,466,1546,19466,44272,100776,972284,5272,171169,3522,1494,126568,252,125268,1173,1052,325372,737,0,1757,687,0,2559959,
I_lacunosa-Solyc11g067130.1.1_1,4259,157,73353,20036,52908,20467,0,3529,533816,3248,3878,118804,253217,121661,22639,755,295,302,2772,0,1258,918,0,244,186,906,0,434,497,536553,302,786,1800,860,116,7996,1556,19646,287545,5410,37780,338110,2327,466213,0,185225,1080,7483,3824,0,1621,216,23285,0,3170273,
I_lacunosa-Solyc11g067120.1.1_1,1656,1064,3231,1170,248,2040,1216,1661,892,1424,0,1580,906,1994,2214,179,192,0,0,0,2631,580,0,118,0,274,156,1064,268,1169,1338,482,1774,0,964,0,2505,164753,30031,10502,1736,451,906,689493,0,1039,2901,112,2504,218,0,912,300,0,940848,
I_lacunosa-Solyc11g067110.1.1_1,3315,0,1847,1205,591,0,162,1517,216794,1530,5546,94,2117,5432,4875,913,0,0,508,0,730,1288,0,0,0,604,0,0,0,1439,904,128,604,630,127,0,839,14551,3734,3171,35405,840,3636,437979,0,1970,302,0,302,294542,0,0,598,0,1050769,
I_lacunosa-Solyc02g062430.2.1_1,5351,815,2172,185246,1709,302,174,2237,210939,995,14490,1106,1797,1193,1534,7604,0,184,572,0,16721,0,0,523,0,14954,16743,723,302,2918,268,0,2289,0,144,0,881,104125,10093,60826,19817,50192,4588,81980,0,1765,2412,0,1629,228597,0,0,300,0,1061210,
I_lacunosa-Solyc02g084820.2.1_1,3022,0,720,2765,2110,284,0,31091,1196,600,38924,1462,1204,2970,536,1339,90,139759,516,0,2015,13744,0,160145,0,162,0,668,0,2102,547,825,587,0,0,538,1495,540716,219993,1768,1340,1762,9062,1424,0,3643,293,0,6796,0,0,0,628,0,1198841,
I_lacunosa-Solyc12g008360.1.1_1,7650,3203,4773,350333,5278,680,742,8832,29391,7127,728465,2323,4968,6967,25033,75375,2604,0,1087,0,1937,1909,0,1172,0,590,408,486,202,286127,298,2241,106895,1042,220,27564,125011,84923,27050,6817,462355,117155,50076,2158909,130,15662,30156,644,2990,37572,0,314,3191,0,4818877,
I_lacunosa-Solyc12g008710.1.1_1,8795,1629,39510,274505,136973,642,262,254198,8022,897464,7208,137824,8311,146285,16645,3673,70554,234630,1394,0,3946,121626,0,4168,0,33085,497981,3592,20028,70539,2366,904,5254,2410,24587,6605,9483,723702,31861,11402,326950,4716,237856,1025557,0,68884,45011,412,224690,3932,0,72101,1968,0,5834140,
I_lacunosa-Solyc08g041870.2.1_1,2491,302,4609,4325,246592,0,766,472894,38775,69206,2100,4836,4056,2999,5615,2992,564,0,0,0,0,1824,0,0,0,868688,1750,0,0,2592,463,2071,807,946,0,460,2282,80483,65949,2405,253362,298,2325,71043,0,5183,6899,420,1012,0,0,1472,1167,0,2237023,
I_lacunosa-Solyc07g045540.2.1_1,2400,10157,932232,261586,1731,662,9760,756300,113373,180399,60088,688009,14544,8807,6413,5086,12656,1562,588,0,613,1368,0,4100,0,205911,441,1680,193897,4807,1197,2069,2888,0,488,626,20429,1089054,310253,7137,1804370,6407,2459,751154,0,231109,11575,878,539783,1702,0,2473,8387,0,8273608,
I_lacunosa-Solyc01g096350.2.1_1,9646,14009,14444,119005,10495,20876,1289,45035,492858,124942,149289,34360,28101,8547,232612,499156,1312,3748,142,155,8509,2487,1050,5334,130,108432,9631,32323,20113,33535,2534,2611,5771,2576,74929,246530,19231,555664,1860674,8306,324871,178261,5911,1253693,2003,21649,179633,6076,24013,12758,0,14463,8479,111,6842312,
I_lacunosa-Solyc06g069180.2.1_1,6283,578,334297,1846,5113,3463,425,4698,38146,4199,18668,71217,1627,4948,11777,41659,1208,42459,16691,0,443496,285553,0,1357,516,9822,6107,569,9678,2575,1092,2668,4319,1784,537477,5044,1712,940906,175322,8050,419586,3933,4635,849583,76,47039,5660,52184,4178,290924,0,708,3258,0,4729113,
I_lacunosa-Solyc06g061040.2.1_1,2934,18412,5483,2024,464,1980,833,260881,1114,4005,5007,3420,3589,4472,45157,1532,520,0,0,0,1933,1338,0,348,0,182889,338157,908,0,3839,545,0,43708,752,1608,168,258685,59691,16728,228752,4741,566639,3606,437011,0,61793,4264,190,5645,816,0,424,6355,0,2593360,
