id_comp,names,mol_weight,formula,n_heavy_atom,n_arom_heavy_atom,csp3,n_rotate_bond,n_hbond_acceptors,n_hbond_donors,molar_refrac,tpsa,ilogp,xlogp3,wlogp,mlogp,silicosit,consensus_log,esol_logs,esol_solub_mg,esol_solub_mol,esol_class,ali_logs,ali_solub_mg,ali_solub_mol,ali_class,silicosit_logs,silicosit_solub_mg,silicosit_solub_mol,silicosit_class,gi_absorp,bbb_permeant,pgp_substrate,cyp1a2,cyp2c19,cyp2c9,cyp2d6,cyp3a4,logkp,lipinski,ghose,veber,egan,muegge,bioavail
38,"Berberine; Umbellatine",336.36,C20H18NO4,25,16,0.25,2,4,0,94.87,40.8,0,3.62,3.1,2.19,3.74,2.53,-4.55,0.00953,2.83e-05,Moderately soluble,-4.16,0.023,6.85e-05,Moderately soluble,-5.92,0.0004,1.19e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.78,0,0,0,0,0,0.55
43,"Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine",176.22,C10H12N2O,13,9,0.2,2,2,3,52.8,62.04,1.18,1.49,1.37,0.65,1.95,1.33,-2.25,0.987,0.0056,Soluble,-2.4,0.701,0.00398,Soluble,-3.16,0.123,0.000698,Soluble,High,Yes,No,No,No,No,No,No,-6.32,0,0,0,0,1,0.55
44,"Tropinone; 3-Tropanone",139.19,C8H13NO,10,0,0.88,0,2,0,43.35,20.31,1.8,0.34,0.43,0.76,1.19,0.9,-0.92,16.8,0.121,Very soluble,-0.33,65,0.467,Very soluble,-0.94,15.9,0.114,Soluble,High,No,No,No,No,No,No,No,-6.91,0,1,0,0,1,0.55
59,"Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; IAA",175.18,C10H9NO2,13,9,0.1,2,2,2,49.84,53.09,1.01,1.41,1.79,1.11,2.21,1.51,-2.19,1.12,0.00639,Soluble,-2.13,1.3,0.00743,Soluble,-3.06,0.153,0.000875,Soluble,High,Yes,No,No,No,No,No,No,-6.37,0,0,0,0,1,0.56
62,"N-Methylnicotinate; Trigonelline; Trigenelline; 1-Methylpyridinio-3-carboxylate; Betaine nicotinate; Caffearin; Gynesine",137.14,C7H7NO2,10,6,0.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,0.36,-0.61,-1.39,5.59,0.0408,Very soluble,-1,13.6,0.0989,Very soluble,-0.94,15.9,0.116,Soluble,High,No,No,No,No,No,No,No,-6.77,0,4,0,0,1,0.55
63,"6-Hydroxynicotinate; 6-Hydroxynicotinic acid",139.11,C6H5NO3,10,6,0,1,3,2,34.02,70.16,0.68,-0.55,0.07,-0.15,0.89,0.19,-0.73,25.7,0.185,Very soluble,-0.45,48.9,0.352,Very soluble,-1.28,7.33,0.0527,Soluble,High,No,No,No,No,No,No,No,-7.54,0,3,0,0,1,0.56
65,"Deacetylvindoline; 17-O-Deacetylvindoline; Desacetylvindoline",414.49,C23H30N2O5,30,6,0.61,4,6,2,118.68,82.47,3.02,2.34,0.31,1.38,1.15,1.64,-3.77,0.0707,0.000171,Soluble,-3.71,0.0806,0.000194,Soluble,-3.06,0.361,0.000871,Soluble,High,No,Yes,No,No,No,Yes,No,-7.17,0,0,0,0,0,0.55
72,"Nicotinate D-ribonucleotide; beta-Nicotinate D-ribonucleotide; Nicotinate ribonucleotide; Nicotinic acid ribonucleotide",336.21,C11H15NO9P,22,6,0.45,5,9,5,69.59,167.44,-4.7,-2.75,-1.92,-2.11,-2.69,-2.84,-0.06,290,0.863,Very soluble,-0.21,206,0.611,Very soluble,1.66,15400,45.9,Soluble,Low,No,No,No,No,No,No,No,-10.3,0,1,1,1,2,0.11
81,"Cocaine; l-Cocain; beta-Cocain",303.35,C17H21NO4,22,6,0.53,5,5,0,84.85,55.84,3.22,2.3,1.49,2.18,1.61,2.16,-3.04,0.276,0.000909,Soluble,-3.11,0.235,0.000775,Soluble,-2.89,0.39,0.00129,Soluble,High,Yes,No,No,No,No,Yes,No,-6.52,0,0,0,0,0,0.55
91,"Atropine; dl-Hyoscyamine",289.37,C17H23NO3,21,6,0.59,5,4,1,84.51,49.77,3.02,1.83,1.55,2.02,2.03,2.09,-2.67,0.621,0.00215,Soluble,-2.5,0.925,0.0032,Soluble,-2.93,0.341,0.00118,Soluble,High,Yes,No,No,No,No,Yes,No,-6.77,0,0,0,0,0,0.55
98,"Morphine",285.34,C17H19NO3,21,6,0.53,0,4,2,82.27,52.93,2.4,0.76,0.82,1.74,1.34,1.41,-2.3,1.43,0.00502,Soluble,-1.45,10.1,0.0354,Very soluble,-2.07,2.45,0.00857,Soluble,High,Yes,Yes,No,No,No,Yes,No,-7.5,0,0,0,0,0,0.55
99,"Ricinine",164.16,C8H8N2O2,12,6,0.25,1,3,0,43.17,55.02,1.63,0.01,0.27,-0.28,0.85,0.5,-1.17,11.1,0.0679,Very soluble,-0.72,31.5,0.192,Very soluble,-1.7,3.28,0.02,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,1,0.55
106,"Ephedrine; (-)-Ephedrine; L-Ephedrine",165.23,C10H15NO,12,6,0.4,3,2,2,49.79,32.26,2.16,0.93,1,1.56,1.56,1.45,-1.62,3.94,0.0239,Very soluble,-1.19,10.6,0.064,Very soluble,-2.74,0.303,0.00183,Soluble,High,Yes,No,No,No,No,No,No,-6.65,0,0,0,0,1,0.55
111,"Melatonin; N-Acetyl-5-methoxytryptamine",232.28,C13H16N2O2,17,9,0.31,5,2,2,67.18,54.12,1.98,1.59,1.86,0.97,2.78,1.83,-2.34,1.05,0.00453,Soluble,-2.34,1.07,0.0046,Soluble,-4.62,0.00562,2.42e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.59,0,0,0,0,0,0.55
114,"Vindoline",456.53,C25H32N2O6,33,6,0.6,6,7,1,128.42,88.54,3.19,1.5,0.88,1.74,1.66,1.79,-3.35,0.202,0.000443,Soluble,-2.97,0.492,0.00108,Soluble,-3.67,0.0974,0.000213,Soluble,High,No,No,No,No,No,Yes,Yes,-8.02,0,0,0,0,0,0.55
120,"Morphinone",283.32,C17H17NO3,21,6,0.47,0,4,1,81.31,49.77,2.24,1.88,1.03,1.66,1.93,1.75,-2.99,0.288,0.00102,Soluble,-2.55,0.804,0.00284,Soluble,-2.76,0.49,0.00173,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.69,0,0,0,0,0,0.55
125,"Vomilenine",350.41,C21H22N2O3,26,6,0.52,2,5,1,104.53,62.13,3.15,1.4,1.55,2.62,2.41,2.23,-2.93,0.409,0.00117,Soluble,-2.31,1.72,0.00491,Soluble,-3.29,0.182,0.000519,Soluble,High,Yes,No,No,No,No,Yes,No,-7.44,0,0,0,0,0,0.55
126,"Xanthosine",284.23,C10H12N4O6,20,9,0.5,2,7,5,63.92,153.46,0.08,-2.36,-3.3,-2.3,-1.36,-1.85,-0.32,137,0.483,Very soluble,-0.32,135,0.473,Very soluble,0.24,495,1.74,Soluble,Low,No,No,No,No,No,No,No,-9.71,0,1,1,1,2,0.55
132,"Columbamine",338.38,C20H20NO4,25,16,0.25,3,4,1,97.33,51.8,-0.09,3.42,3.08,1.78,3.43,2.33,-4.37,0.0145,4.28e-05,Moderately soluble,-4.19,0.022,6.49e-05,Moderately soluble,-5.72,0.00064,1.89e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.94,0,0,0,0,0,0.55
135,"Scopolamine; (-)-Hyoscine",303.35,C17H21NO4,22,6,0.59,5,5,1,83.48,62.3,2.52,0.98,0.54,1.19,1.49,1.34,-2.21,1.87,0.00617,Soluble,-1.88,4.03,0.0133,Very soluble,-2.2,1.93,0.00637,Soluble,High,No,No,No,No,No,Yes,No,-7.45,0,0,0,0,0,0.55
142,"Camptothecin",348.35,C20H16N2O4,26,16,0.25,1,5,1,95.31,81.42,2.49,1.74,1.82,1.64,3.29,2.2,-3.49,0.114,0.000327,Soluble,-3.07,0.299,0.000858,Soluble,-5.83,0.00052,1.49e-06,Moderately soluble,High,No,Yes,Yes,No,Yes,No,Yes,-7.19,0,0,0,0,0,0.55
150,"L-Hyoscyamine; L-Tropine tropate; Daturine; Duboisine",289.37,C17H23NO3,21,6,0.59,5,4,1,84.51,49.77,3.02,1.83,1.55,2.02,2.03,2.09,-2.67,0.621,0.00215,Soluble,-2.5,0.925,0.0032,Soluble,-2.93,0.341,0.00118,Soluble,High,Yes,No,No,No,No,Yes,No,-6.77,0,0,0,0,0,0.55
151,"Pseudotropine",141.21,C8H15NO,10,0,1,0,2,1,44.31,23.47,1.97,0.75,0.22,0.9,0.6,0.89,-1.19,9.16,0.0649,Very soluble,-0.82,21.3,0.151,Very soluble,-0.25,79.4,0.562,Soluble,High,No,No,No,No,No,No,No,-6.63,0,1,0,0,1,0.55
152,"Raucaffricine; Vomilenine beta-D-glucoside",512.55,C27H32N2O8,37,6,0.63,5,10,4,136.91,141.28,2.81,-0.2,-0.62,0.33,0.3,0.52,-2.68,1.07,0.00208,Soluble,-2.31,2.51,0.00489,Soluble,-1.53,15.2,0.0296,Soluble,Low,No,Yes,No,No,No,Yes,No,-9.57,1,3,1,1,0,0.55
154,"(S)-Reticuline; (+)-Reticuline",329.39,C19H23NO4,24,12,0.37,4,5,2,97.01,62.16,3.32,3.01,2.18,1.75,2.92,2.64,-3.88,0.043,0.00013,Soluble,-3.98,0.0345,0.000105,Soluble,-4.72,0.00625,1.9e-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.17,0,0,0,0,0,0.55
155,"(S)-Scoulerine; (13aS)-5,8,13,13a-Tetrahydro-3,10-dimethoxy-6H-dibenzo[a,g]quinolizine-2,9-diol",327.37,C19H21NO4,24,12,0.37,2,5,2,95.05,62.16,3.07,2.59,1.91,1.75,2.68,2.4,-3.74,0.0597,0.000182,Soluble,-3.54,0.0935,0.000286,Soluble,-4.48,0.0108,3.3e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.46,0,0,0,0,0,0.55
156,"Allocryptopine",369.41,C21H23NO5,27,12,0.38,2,6,0,104.41,57.23,3.38,2.92,2.31,1.71,3.71,2.81,-4.17,0.0252,6.81e-05,Moderately soluble,-3.78,0.0609,0.000165,Soluble,-5.87,0.000498,1.35e-06,Moderately soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.48,0,0,0,0,0,0.55
157,"Geissoschizine",352.43,C21H24N2O3,26,9,0.43,4,4,1,104.7,62.4,2.57,2.23,2.32,2.05,3.67,2.57,-3.42,0.133,0.000378,Soluble,-3.18,0.235,0.000667,Soluble,-4.55,0.01,2.84e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.87,0,0,0,0,0,0.55
162,"Castanospermine",189.21,C8H15NO4,13,0,1,0,5,4,47.8,84.16,0.78,-2.24,-2.86,-1.66,-1.94,-1.58,0.4,473,2.5,Highly soluble,1.01,1920,10.1,Highly soluble,2.02,19600,104,Soluble,Low,No,Yes,No,No,No,No,No,-9.04,0,1,0,0,2,0.55
169,"N-Methyltyramine",151.21,C9H13NO,11,6,0.33,3,2,2,45.85,32.26,1.86,1.61,1.15,1.53,1.69,1.57,-2,1.52,0.0101,Very soluble,-1.9,1.91,0.0126,Very soluble,-3.05,0.134,0.000885,Soluble,High,Yes,No,Yes,No,No,No,No,-6.08,0,1,0,0,1,0.55
177,"13-Hydroxylupanine; 13-Hydroxylupinine; (+)-13alpha-Hydroxylupanine",264.36,C15H24N2O2,19,0,0.93,0,3,1,80.75,43.78,2.44,0.6,0.08,1.42,0.42,0.99,-1.86,3.67,0.0139,Very soluble,-1.09,21.3,0.0807,Very soluble,-0.87,35.4,0.134,Soluble,High,No,Yes,No,No,No,No,No,-7.49,0,0,0,0,0,0.55
181,"Desacetoxyvindoline; 16-Methoxy-2,3-dihydro-3-hydroxy-N-methyltabersonine; Deacetoxyvindoline",398.5,C23H30N2O4,29,6,0.61,4,5,1,117.52,62.24,3.32,2.76,1.34,2.18,2.04,2.33,-3.94,0.0459,0.000115,Soluble,-3.72,0.0755,0.00019,Soluble,-3.88,0.0525,0.000132,Soluble,High,Yes,No,No,No,No,Yes,No,-6.77,0,0,0,0,0,0.55
185,"(+)-Pseudoephedrine; Pseudoephedrine",165.23,C10H15NO,12,6,0.4,3,2,2,49.79,32.26,1.93,0.93,1,1.56,1.56,1.4,-1.62,3.94,0.0239,Very soluble,-1.19,10.6,0.064,Very soluble,-2.74,0.303,0.00183,Soluble,High,Yes,No,No,No,No,No,No,-6.65,0,0,0,0,1,0.55
189,"Tetrahydropalmatine; (S)-Tetrahydropalmatine",355.43,C21H25NO4,26,12,0.43,4,5,0,103.99,40.16,3.67,3.24,2.52,2.2,3.75,3.08,-4.16,0.0245,6.88e-05,Moderately soluble,-3.76,0.0622,0.000175,Soluble,-5.87,0.000481,1.35e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.17,0,0,0,0,0,0.55
192,"(S)-Norlaudanosoline; (S)-Tetrahydropapaveroline",287.31,C16H17NO4,21,12,0.25,2,5,5,83.17,92.95,1.8,1.89,1.23,1.04,1.93,1.58,-3.1,0.227,0.000789,Soluble,-3.46,0.0986,0.000343,Soluble,-3.67,0.0621,0.000216,Soluble,High,No,Yes,No,No,No,Yes,No,-6.71,0,0,0,0,0,0.55
199,"Strictosidine aglycone",368.43,C21H24N2O4,27,9,0.38,5,5,3,106.18,83.58,2.71,2.19,1.86,1.65,2.99,2.28,-3.42,0.14,0.00038,Soluble,-3.58,0.0971,0.000264,Soluble,-4.42,0.0139,3.78e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.99,0,0,0,0,0,0.56
200,"(6S)-Hydroxyhyoscyamine; (6S)-6-Hydroxyhyoscyamine",305.37,C17H23NO4,22,6,0.59,5,5,2,85.67,70,2.56,0.86,0.52,1.19,1.14,1.25,-2.15,2.18,0.00713,Soluble,-1.91,3.73,0.0122,Very soluble,-2.12,2.33,0.00764,Soluble,High,No,No,No,No,No,No,No,-7.55,0,0,0,0,0,0.55
201,"(S)-Canadine; (S)-Tetrahydroberberine; (13aS)-5,8,13,13a-Tetrahydro-9,10-dimethoxy-6H-benzo[g]-1,3-benzodioxolo[5,6-a]quinolizine; (-)-Canadine",339.39,C20H21NO4,25,12,0.4,2,5,0,97.07,40.16,3.57,3.11,2.23,2.38,3.52,2.96,-4.13,0.0254,7.47e-05,Moderately soluble,-3.62,0.0811,0.000239,Soluble,-5.38,0.00142,4.2e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.16,0,0,0,0,0,0.55
203,"3-alpha(S)-Strictosidine; Strictosidine",530.57,C27H34N2O9,38,9,0.52,8,10,6,138.56,162.73,2.33,0.6,-0.31,-0.59,0.89,0.58,-3.15,0.372,0.0007,Soluble,-3.59,0.136,0.000256,Soluble,-2.66,1.17,0.0022,Soluble,Low,No,Yes,No,No,No,No,No,-9.11,3,3,1,1,2,0.11
210,"4,21-Dehydrogeissoschizine",351.42,C21H23N2O3,26,9,0.33,3,3,2,106.86,65.33,-1.07,2.69,2.72,1.98,2.75,1.81,-3.77,0.0595,0.000169,Soluble,-3.71,0.0678,0.000193,Soluble,-4.55,0.00997,2.84e-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.53,0,0,0,0,0,0.56
211,"Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine",153.18,C8H11NO2,11,6,0.25,2,3,3,42.97,66.48,1.27,-0.98,0.6,0.6,0.8,0.46,-0.44,55.1,0.36,Very soluble,0.07,180,1.17,Highly soluble,-1.68,3.19,0.0208,Soluble,High,No,No,No,No,No,No,No,-7.93,0,1,0,0,1,0.55
214,"Piperine; N-[(E,E)-Piperoyl]piperidine; 1-Piperoyl-piperidine",285.34,C17H19NO3,21,6,0.35,4,3,0,85.47,38.77,3.42,3.46,2.51,2.39,3.41,3.04,-3.74,0.0524,0.000184,Soluble,-3.96,0.0316,0.000111,Soluble,-3,0.287,0.001,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.58,0,0,0,0,0,0.55
222,"Isocorypalmine; 5,8,13,13a-Tetrahydrocolumbamine; (S)-Tetrahydrocolumbamine; (13aS)-5,8,13,13a-Tetrahydro-3,9,10-trimethoxy-6H-dibenzo[a,g]quinolizin-2-ol",341.4,C20H23NO4,25,12,0.4,3,5,1,99.52,51.16,3.42,2.91,2.22,1.98,3.21,2.75,-3.95,0.0386,0.000113,Soluble,-3.65,0.0773,0.000226,Soluble,-5.18,0.00228,6.67e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.32,0,0,0,0,0,0.55
225,"13-(2-Methylcrotonoyl)oxylupanine; 13-(2-Methylcrotonoyl)oxylupinine; (+)-13alpha-Tigloyloxylupanine",346.46,C20H30N2O3,25,0,0.8,3,4,0,104.43,49.85,3.49,2.38,1.6,2.38,1.63,2.3,-3.29,0.178,0.000513,Soluble,-3.07,0.296,0.000856,Soluble,-1.96,3.77,0.0109,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,0,0.55
230,"5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)-thiazole",143.21,C6H9NOS,9,5,0.5,2,2,1,38.01,61.36,1.65,0.85,0.99,-0.09,2.62,1.2,-1.54,4.11,0.0287,Very soluble,-1.72,2.72,0.019,Very soluble,-1.89,1.84,0.0129,Soluble,High,Yes,No,No,No,No,No,No,-6.57,0,3,0,0,1,0.55
231,"4-Methyl-5-(2-phosphooxyethyl)thiazole; 4-Methyl-5-(2-phosphonooxyethyl)thiazole; 5-(2-Hydroxyethyl)-4-methylthiazole phosphate",223.19,C6H10NO4PS,13,5,0.5,4,5,2,48.93,117.7,0.74,-0.25,1.1,-1.12,1.53,0.4,-1.09,18.3,0.0819,Very soluble,-1.76,3.85,0.0172,Very soluble,-1.11,17.4,0.0782,Soluble,High,No,No,No,No,No,No,No,-7.84,0,0,0,0,0,0.56
239,"16-Methoxy-2,3-dihydro-3-hydroxytabersonine",384.47,C22H28N2O4,28,6,0.59,4,5,2,112.62,71.03,3.25,2.63,1.12,1.97,2.09,2.21,-3.78,0.0645,0.000168,Soluble,-3.77,0.065,0.000169,Soluble,-4.22,0.0232,6.04e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.78,0,0,0,0,0,0.55
248,"(S)-Cheilanthifoline; (6aS)-6,6a,11,14-Tetrahydro-8-methoxy-12H-benzo[a]-1,3-benzodioxolo[4,5-g]quinolizim-9-ol",325.36,C19H19NO4,24,12,0.37,1,5,1,92.6,51.16,3.24,2.78,1.93,2.16,2.99,2.62,-3.91,0.0398,0.000122,Soluble,-3.51,0.1,0.000309,Soluble,-4.68,0.00675,2.07e-05,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.31,0,0,0,0,0,0.55
249,"Stylopine; (S)-Stylopine; l-Tetrahydrocoptisine; 6,7,12b,13e-Tetrahydro-4H-bis[1,3]benzodioxolo[5,6-a:4',5'-g]quinolizine",323.34,C19H17NO4,24,12,0.37,0,5,0,90.15,40.16,3.34,2.98,1.94,2.56,3.3,2.83,-4.09,0.0262,8.09e-05,Moderately soluble,-3.49,0.105,0.000326,Soluble,-4.88,0.00422,1.31e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-6.16,0,0,0,0,0,0.55
250,"(S)-N-Methylcoclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol",299.36,C18H21NO3,22,12,0.33,3,4,2,90.52,52.93,2.75,3.04,2.17,2.08,2.87,2.58,-3.82,0.0456,0.000152,Soluble,-3.82,0.0456,0.000152,Soluble,-4.61,0.00735,2.45e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.97,0,0,0,0,0,0.55
251,"Berbamunine; (1S)-1,2,3,4-Tetrahydro-1-[[4-[2-hydroxy-5-[[(1R)-1,2,3,4-tetrahydro-7-hydroxy-6-methoxy-2-methyl-1-isoquinolinyl]methyl]phenoxy]phenyl]methyl]-6-methoxy-2-methyl-7-isoquinolinol",596.71,C36H40N2O6,44,24,0.33,8,8,3,179.08,94.86,4.91,6.05,4.75,3.11,5.52,4.87,-7.23,3.54e-05,5.93e-08,Poorly soluble,-7.82,9e-06,1.51e-08,Poorly soluble,-9.38,2.5e-07,4.2e-10,Poorly soluble,High,No,No,No,No,No,No,No,-5.64,1,3,0,0,1,0.55
252,"(R)-Reticuline; (1R)-1,2,3,4-Tetrahydro-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol",329.39,C19H23NO4,24,12,0.37,4,5,2,97.01,62.16,3.13,3.01,2.18,1.75,2.92,2.6,-3.88,0.043,0.00013,Soluble,-3.98,0.0345,0.000105,Soluble,-4.72,0.00625,1.9e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.17,0,0,0,0,0,0.55
253,"Salutaridine; Sinoacutine; 5,6,8,14-Tetradehydro-4-hydroxy-3,6-dimethoxy-17-methyl-morphinan-7-one",327.37,C19H21NO4,24,6,0.42,2,5,1,93.65,59,2.78,1.95,1.56,1.22,2.35,1.97,-3.15,0.231,0.000706,Soluble,-2.81,0.503,0.00154,Soluble,-3.69,0.0662,0.000202,Soluble,High,Yes,Yes,No,No,No,No,No,-6.91,0,0,0,0,0,0.55
254,"Protopine",353.37,C20H19NO5,26,12,0.35,0,6,0,97.49,57.23,3.19,2.79,2.02,1.9,3.47,2.67,-4.13,0.0262,7.41e-05,Moderately soluble,-3.65,0.0794,0.000225,Soluble,-5.38,0.00148,4.18e-06,Moderately soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.47,0,0,0,0,0,0.55
255,"6-Hydroxyprotopine",369.37,C20H19NO6,27,12,0.35,0,7,1,98.65,77.46,2.91,2.27,1.34,1.5,2.56,2.12,-3.89,0.0477,0.000129,Soluble,-3.53,0.108,0.000293,Soluble,-4.56,0.0101,2.74e-05,Moderately soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-6.94,0,0,0,0,0,0.55
256,"Dihydrosanguinarine; 13,14-Dihydro-13-methyl-[1,3]benzodioxolo[5,6-c]-1,3-dioxolo[4,5-i]phenanthridine",333.34,C20H15NO4,25,16,0.2,0,4,0,96.7,40.16,3.36,4.12,3.38,2.86,3.87,3.52,-4.98,0.00352,1.06e-05,Moderately soluble,-4.67,0.00713,2.14e-05,Moderately soluble,-6.06,0.000288,8.65e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.41,0,0,0,0,0,0.55
257,"12-Hydroxydihydrochelirubine; 12-Hydroxychelirubine",379.36,C21H17NO6,28,16,0.24,1,6,1,105.21,69.62,3.3,3.74,3.1,2.01,3.41,3.11,-4.91,0.00472,1.24e-05,Moderately soluble,-4.89,0.00484,1.28e-05,Moderately soluble,-5.58,0.000989,2.61e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.96,0,0,0,0,0,0.55
